t,MV,PV
1.900000000000000000e+02,1.000000000000000000e+00,3.037499999999999645e-01
1.910000000000000000e+02,1.000000000000000000e+00,3.060000000000000497e-01
1.920000000000000000e+02,1.000000000000000000e+00,3.060000000000000497e-01
1.930000000000000000e+02,1.000000000000000000e+00,3.060000000000000497e-01
1.940000000000000000e+02,1.000000000000000000e+00,3.060000000000000497e-01
1.950000000000000000e+02,1.000000000000000000e+00,3.060000000000000497e-01
1.960000000000000000e+02,1.000000000000000000e+00,3.060000000000000497e-01
1.970000000000000000e+02,1.000000000000000000e+00,3.070000000000000506e-01
1.980000000000000000e+02,1.000000000000000000e+00,3.060000000000000497e-01
1.990000000000000000e+02,1.000000000000000000e+00,3.070000000000000506e-01
2.000000000000000000e+02,1.000000000000000000e+00,3.060000000000000497e-01
2.010000000000000000e+02,1.000000000000000000e+00,3.092499999999999138e-01
2.020000000000000000e+02,1.000000000000000000e+00,3.132500000000000284e-01
2.030000000000000000e+02,1.000000000000000000e+00,3.142500000000000293e-01
2.040000000000000000e+02,1.000000000000000000e+00,3.142500000000000293e-01
2.050000000000000000e+02,1.000000000000000000e+00,3.132500000000000284e-01
2.060000000000000000e+02,1.000000000000000000e+00,3.142500000000000293e-01
2.070000000000000000e+02,1.000000000000000000e+00,3.142500000000000293e-01
2.080000000000000000e+02,1.000000000000000000e+00,3.150000000000000577e-01
2.090000000000000000e+02,1.000000000000000000e+00,3.142500000000000293e-01
2.100000000000000000e+02,1.000000000000000000e+00,3.142500000000000293e-01
2.110000000000000000e+02,1.000000000000000000e+00,3.142500000000000293e-01
2.120000000000000000e+02,1.000000000000000000e+00,3.157500000000000862e-01
2.130000000000000000e+02,1.000000000000000000e+00,3.164999999999998925e-01
2.140000000000000000e+02,1.000000000000000000e+00,3.182499999999999218e-01
2.150000000000000000e+02,1.000000000000000000e+00,3.164999999999998925e-01
2.160000000000000000e+02,1.000000000000000000e+00,3.164999999999998925e-01
2.170000000000000000e+02,1.000000000000000000e+00,3.222500000000000364e-01
2.180000000000000000e+02,1.000000000000000000e+00,3.215000000000000080e-01
2.190000000000000000e+02,1.000000000000000000e+00,3.172499999999999210e-01
2.200000000000000000e+02,1.000000000000000000e+00,3.205000000000000071e-01
2.210000000000000000e+02,1.000000000000000000e+00,3.222500000000000364e-01
2.220000000000000000e+02,1.000000000000000000e+00,3.222500000000000364e-01
2.230000000000000000e+02,1.000000000000000000e+00,3.222500000000000364e-01
2.240000000000000000e+02,1.000000000000000000e+00,3.222500000000000364e-01
2.250000000000000000e+02,1.000000000000000000e+00,3.222500000000000364e-01
2.260000000000000000e+02,1.000000000000000000e+00,3.222500000000000364e-01
2.270000000000000000e+02,1.000000000000000000e+00,3.230000000000000648e-01
2.280000000000000000e+02,1.000000000000000000e+00,3.230000000000000648e-01
2.290000000000000000e+02,1.000000000000000000e+00,3.230000000000000648e-01
2.300000000000000000e+02,1.000000000000000000e+00,3.222500000000000364e-01
2.310000000000000000e+02,1.000000000000000000e+00,3.262499999999999289e-01
2.320000000000000000e+02,1.000000000000000000e+00,3.254999999999999005e-01
2.330000000000000000e+02,1.000000000000000000e+00,3.269999999999999574e-01
2.340000000000000000e+02,1.000000000000000000e+00,3.295000000000000151e-01
2.350000000000000000e+02,1.000000000000000000e+00,3.302500000000000435e-01
2.360000000000000000e+02,1.000000000000000000e+00,3.302500000000000435e-01
2.370000000000000000e+02,1.000000000000000000e+00,3.302500000000000435e-01
2.380000000000000000e+02,1.000000000000000000e+00,3.302500000000000435e-01
2.390000000000000000e+02,1.000000000000000000e+00,3.287499999999999867e-01
2.400000000000000000e+02,1.000000000000000000e+00,3.302500000000000435e-01
2.410000000000000000e+02,1.000000000000000000e+00,3.302500000000000435e-01
2.420000000000000000e+02,1.000000000000000000e+00,3.302500000000000435e-01
2.430000000000000000e+02,1.000000000000000000e+00,3.302500000000000435e-01
2.440000000000000000e+02,1.000000000000000000e+00,3.302500000000000435e-01
2.450000000000000000e+02,1.000000000000000000e+00,3.302500000000000435e-01
2.460000000000000000e+02,1.000000000000000000e+00,3.302500000000000435e-01
